No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,8,Jumper,"A0,A1,A2,A3,A4,A5,S1,S2",PAD-JUMPER-2-NC_BY_PASTE_YES_SILK,,0603WAF0000T5E,NONE,C21189,LCSC
2,1,1000uF,C1,CAP-TH_BD8.0-P3.50-D0.5-FD,1000uF,ERA10V1000M8X12,JIERR(捷而瑞),C49256787,LCSC
3,1,10uF,C2,C0603,10uF,,,,
4,1,100nF,C3,C0603,100nF,,,,
5,12,HDR-M_2.54_1x4P,"H1,H2,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13",HDR-TH_4P-P2.54-V-M,,,,,
6,1,HX PZ2.54-1x6P WZ,H3,HDR-TH_6P-P2.54-H-M-W10.3,,HX PZ2.54-1x6P WZ,hanxia(韩下),C32713265,LCSC
7,1,LED_0603-R,LED1,LED0603-R-RD,,,,,
8,1,LED_0603-B,LED2,LED0603-R-RD,,,,,
9,1,AO3401A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,AO3401A,AOS,C15127,LCSC
10,4,5.1K,"R17,R18,R20,R21",R0603,5.1K,,,,
11,1,10K,R19,R0603,10K,,,,
12,4,220Ω,"RN1,RN2,RN3,RN4",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,220Ω,4D03WGF2200T5E,UNI-ROYAL(厚声),C425229,LCSC
13,2,10kΩ,"RN5,RN6",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,10kΩ,4D03WGF2200T5E,UNI-ROYAL(厚声),,LCSC
14,1,"PCA9685PW,118",U1,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,-,"PCA9685PW,118",NXP(恩智浦),C2678753,LCSC
15,1,KF301-5.0-2P,U2,CONN-TH_P5.00_KF301-5.0-2P,,KF301-5.0-2P,KEFA(科发),C474881,LCSC
16,1,ME6212C50M5G,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,ME6212C50M5G,MICRONE(南京微盟),C487907,LCSC
17,1,ME6217C33M5G,U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,ME6217C33M5G,MICRONE(南京微盟),C427602,LCSC
18,1,PM254-1-06-W-8.5,U12,HDR-TH_6P-P2.54-H-F-W10.0-N,,PM254-1-06-W-8.5,HCTL(华灿天禄),C2897388,LCSC
19,1,TYPE-C 6P(073),USB1,TYPE-C-SMD_TYPE-C-6P,,TYPE-C 6P(073),SHOU HAN,C668623,LCSC
