Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
U1,"PCA9685PW,118",TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,32mm,-16.002mm,32mm,-16.002mm,28.8mm,-11.777mm,28,T,0,Yes,"PCA9685PW,118","PCA9685PW,118"
RN1,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,16.764mm,-21.209mm,16.764mm,-21.209mm,15.564mm,-22.009mm,8,T,0,Yes,220Ω,220Ω
RN2,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,20.828mm,-21.209mm,20.828mm,-21.209mm,19.628mm,-22.009mm,8,T,0,Yes,220Ω,220Ω
RN3,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,47.244mm,-21.189mm,47.244mm,-21.189mm,48.444mm,-20.389mm,8,T,180,Yes,220Ω,220Ω
RN4,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,43.053mm,-21.189mm,43.053mm,-21.189mm,44.253mm,-20.389mm,8,T,180,Yes,220Ω,220Ω
R17,Res_0603,R0603,48.768mm,-6.35mm,48.768mm,-6.35mm,48.768mm,-7.103mm,2,T,90,Yes,5.1K,5.1K
R18,Res_0603,R0603,36.957mm,-6.35mm,36.957mm,-6.35mm,36.957mm,-7.103mm,2,T,90,Yes,5.1K,5.1K
R19,Res_0603,R0603,46.863mm,-11.43mm,46.863mm,-11.43mm,46.11mm,-11.43mm,2,T,0,Yes,10K,10K
RN5,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,23.749mm,-13.335mm,23.749mm,-13.335mm,24.549mm,-14.535mm,8,T,90,Yes,10kΩ,10kΩ
RN6,4D03WGF2200T5E,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,42.672mm,-10.541mm,42.672mm,-10.541mm,41.472mm,-11.341mm,8,T,0,Yes,10kΩ,10kΩ
C2,CAP_0603,C0603,34.544mm,-8.382mm,34.544mm,-8.382mm,35.244mm,-8.382mm,2,T,180,Yes,10uF,10uF
